"Source:","/home/agn/Documents/PCB/Pilot200ACDC/touchpanel/touchpanel.kicad_sch"
"Date:","Sun 25 Sep 2022 16:14:20 CEST"
"Tool:","Eeschema 6.0.7+dfsg-1~bpo11+1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","21"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","D1","LED","Device:LED","Diode_SMD:D_2114_3652Metric","~"
"","","D2","LED","Device:LED","Diode_SMD:D_2114_3652Metric","~"
"","","D3","LED","Device:LED","Diode_SMD:D_2114_3652Metric","~"
"","","D4","LED","Device:LED","Diode_SMD:D_2114_3652Metric","~"
"","","D5","LED","Device:LED","Diode_SMD:D_2114_3652Metric","~"
"","","D6","LED","Device:LED","Diode_SMD:D_2114_3652Metric","~"
"","","D7","LED","Device:LED","Diode_SMD:D_2114_3652Metric","~"
"","","D8","LED","Device:LED","Diode_SMD:D_2114_3652Metric","~"
"","","D9","LED","Device:LED","Diode_SMD:D_2114_3652Metric","~"
"","","D10","LED","Device:LED","Diode_SMD:D_2114_3652Metric","~"
"","","J1","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~"
"","","SW1","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"","","SW2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"","","SW3","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"","","SW4","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"","","SW5","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"","","SW6","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"","","SW7","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"","","SW8","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"","","SW9","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"","","SW10","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","10","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10","LED","Device:LED","Diode_SMD:D_2114_3652Metric","~"
"2","1","J1","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~"
"3","10","SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
